ID; partition; Off.size.vector; Parent.size; Off.num; Cost.allowed
247; 3, 2, 2, 2, 2, 1; 1, 4, 1; 12; 6; 0
248; 3, 2, 2, 2, 1, 1, 1; 3, 3, 1; 12; 7; 0
249; 3, 2, 2, 1, 1, 1, 1, 1; 5, 2, 1; 12; 8; 0
250; 3, 2, 1, 1, 1, 1, 1, 1, 1; 7, 1, 1; 12; 9; 0
251; 3, 1, 1, 1, 1, 1, 1, 1, 1, 1; 9, 0, 1; 12; 10; 0
252; 2, 2, 2, 2, 2, 2; 0, 6; 12; 6; 1
253; 2, 2, 2, 2, 2, 1, 1; 2, 5; 12; 7; 0
254; 2, 2, 2, 2, 1, 1, 1, 1; 4, 4; 12; 8; 0
255; 2, 2, 2, 1, 1, 1, 1, 1, 1; 6, 3; 12; 9; 0
256; 2, 2, 1, 1, 1, 1, 1, 1, 1, 1; 8, 2; 12; 10; 0
257; 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 10, 1; 12; 11; 0
258; 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 12, 0; 12; 12; 1
259; 12, 1; 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 13; 2; 1
260; 11, 2; 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1; 13; 2; 1
261; 11, 1, 1; 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 13; 3; 1
262; 10, 3; 0, 0, 1, 0, 0, 0, 0, 0, 0, 1; 13; 2; 1
263; 10, 2, 1; 1, 1, 0, 0, 0, 0, 0, 0, 0, 1; 13; 3; 1
264; 10, 1, 1, 1; 3, 0, 0, 0, 0, 0, 0, 0, 0, 1; 13; 4; 1
265; 9, 4; 0, 0, 0, 1, 0, 0, 0, 0, 1; 13; 2; 1
266; 9, 3, 1; 1, 0, 1, 0, 0, 0, 0, 0, 1; 13; 3; 1
267; 9, 2, 2; 0, 2, 0, 0, 0, 0, 0, 0, 1; 13; 3; 1
268; 9, 2, 1, 1; 2, 1, 0, 0, 0, 0, 0, 0, 1; 13; 4; 0
269; 9, 1, 1, 1, 1; 4, 0, 0, 0, 0, 0, 0, 0, 1; 13; 5; 1
270; 8, 5; 0, 0, 0, 0, 1, 0, 0, 1; 13; 2; 1
271; 8, 4, 1; 1, 0, 0, 1, 0, 0, 0, 1; 13; 3; 1
272; 8, 3, 2; 0, 1, 1, 0, 0, 0, 0, 1; 13; 3; 1
273; 8, 3, 1, 1; 2, 0, 1, 0, 0, 0, 0, 1; 13; 4; 1
274; 8, 2, 2, 1; 1, 2, 0, 0, 0, 0, 0, 1; 13; 4; 1
275; 8, 2, 1, 1, 1; 3, 1, 0, 0, 0, 0, 0, 1; 13; 5; 0
276; 8, 1, 1, 1, 1, 1; 5, 0, 0, 0, 0, 0, 0, 1; 13; 6; 1
277; 7, 6; 0, 0, 0, 0, 0, 1, 1; 13; 2; 1
